link_repository,titles,authors,years,abstracts_in,abstracts_en,keywords
http://etd.repository.ugm.ac.id/home/detail_pencarian/209155,Model Pohon Regresi dengan Pendekatan Kredibilitas dan Aplikasinya pada Asuransi Kendaraan Bermotor,"AULADIENA SHAUMU RODHIYATIN, Danang Teguh Qoyyimi, M.Sc., Ph.D",2022 | Skripsi | S1 STATISTIKA,"Dalam perhitungan premi terdapat salah satu metode yang digunakan yaitu perhitungan premi dengan menggunakan teori kredibilitas. Terdapat beberapa teori kredibilitas yang telah dikembangkan, salah satunya teori kredibilitas klasik BÃƒÂ¼hlmann-Straub. Dalam skripsi ini akan dibahas mengenai penerapan metode machine learning ke dalam teori kredibilitas yang selanjutnya disebut dengan pohon regresi dengan pendekatan kredibilitas. Risiko individu akan dibagi ke dalam beberapa sub-kolektif dengan menggunakan algoritma pohon regresi dengan pendekatan kredibilitas berdasarkan fungsi kerugian BÃƒÂ¼hlmann-Straub kemudian akan diprediksi premi bersih individu dari masing-masing sub-kolektif. Metode ini cukup efektif karena dapat memanfaatkan berbagai informasi kovariat yang ada sehingga dapat meminimalkan kesalahan prediksi dalam perhitungan premi bersih individu.","One of the methods used in premium calculation is premium calculation using credibility theory. There are several credibility theories that have been developed, one of which is the classic BÃƒÂ¼hlmann-Straub credibility theory. In this thesis, we discuss the application of machine learning methods into credibility theory, hereinafter referred to as regression tree with credibility approach. Individual risk is divided into several sub-collectives using a credibility regression tree algorithm based on credibility loss and then the classical BÃƒÂ¼hlmann-Straub credibility formula is applied to predict individual net premiums within each subcollective. This method is quite effective because it can take advantage of various available covariate information to minimize prediction errors in the calculation of individual net premiums.","Kata Kunci : premi, teori kredibilitas, BÃƒÂ¼hlmann-Straub, pohon regresi"
http://etd.repository.ugm.ac.id/home/detail_pencarian/214787,PEMODELAN TOPIK PADA DATA REVIEW MENGGUNAKAN TERM FREQUENCY - INVERSE DOCUMENT FREQUENCY DAN LATENT DIRICHLET ALLOCATION,"ARUNG RIZKY ANENURAT, Drs. Danardono, MPH., Ph.D.",2022 | Skripsi | S1 STATISTIKA,"Dalam upaya membatasi pertumbuhan Covid-19 dengan mendeteksi alur penyebarannya serta mengetahui setiap kontak erat yang terjadi antara individu, pemerintah melalui Kominfo meluncurkan aplikasi PeduliLindungi. Pada awal diluncurkannya aplikasi PeduliLindungi masih banyak keluhan dari masyarakat mengenai penggunaan aplikasi tersebut. Sehingga aplikasi PeduliLindungi terus diperbaharui untuk memperbaiki kekurangan dan menambah fitur yang masih dianggap kurang. Meski telah mengalami perbaharuan masih banyak keluhan dan saran yang masuk dari masyarakat. Banyaknya kritik dan saran yang disampaikan, tidak mudah bagi pengembang aplikasi PeduliLindungi untuk mengetahui topik apa saja yang dibahas dan perlu menjadi perhatian. Diperlukan metode untuk memodelkan topik apa saja yang dibahas dalam ulasan aplikasi PeduliLindungi pada Google Play Store. Pemodelan topik yang popular digunakan adalah Latent Dirichlet Allocation (LDA). Pada skripsi ini penulis menggabungkan metode pemodelan topik LDA dengan algoritma Term Frequency-Inversed Document Frequency (TF-IDF). Algoritma TF-IDF merupakan perkalian antara TF dan IDF. Perhitungan estimasi dari distribusi posterior menggunakan algoritma Variational Expectation Maximization (VEM). Hasil pemodelan topik ini berupa proporsi topik pada korpus, probabilitas kata pada setiap topik, dan proporsi topik dalam dokumen/ulasan.","In an effort to limit the growth of Covid-19 by detecting the flow of its spread and knowing every close contact that occurs between individuals, the government through the Ministry of Communication and Information has launched the PeduliLindung application. At the beginning of the launch of the PeduliLindung application, there were still many complaints from the public regarding the use of the application. So the PeduliLindung application continues to be updated to correct deficiencies and add features that are still considered lacking. Even though it has been updated, there are still many complaints and suggestions from the community. With so many criticisms and suggestions submitted, it is not easy for PeduliLindung application developers to find out what topics are discussed and need attention. A method is needed to model what topics are covered in the PeduliLindungi app review on the Google Play Store. The popular modeling topic used is Latent Dirichlet Allocation (LDA). In this thesis, the author combines the LDA topic modeling method with the Term Frequency-Inversed Document Frequency (TF-IDF) algorithm. The TF-IDF algorithm is a multiplication between TF and IDF. The estimation calculation of the posterior distribution uses the Variational Expectation Maximization (VEM) algorithm. The results of this topic modeling are the proportion of topics in the corpus, the probability of words in each topic, and the proportion of topics in the document/review.","Kata Kunci : Pemodelan topik, Latent Dirichlet Allocation, TF-IDF, Variational Expectation Maximization."
http://etd.repository.ugm.ac.id/home/detail_pencarian/215812,ANALISIS CHURN PADA PELANGGAN PRODUK SUSU MENGGUNAKAN METODE EXTREME LEARNING MACHINE,"MOCHAMAD RAIHAN M, Prof. Dr.rer.nat. Dedi Rosadi, S.Si., M.Sc.",2022 | Skripsi | S1 STATISTIKA,"Dalam menjalankan bisnis hampir di seluruh industri sudah mulai bersaing dengan menerapkan customer relationship management (CRM). Sebelumnya CRM hanya diterapkan pada industri telekomunikasi yang berbasis langganan. Pada dasarnya CRM digunakan karena untuk mendapatkan pelanggan baru diperlukan biaya yang lebih banyak daripada mempertahankan pelanggan yang sudah ada, sehingga alat analisis yang akurat diperlukan untuk mendukung implementasi CRM. Pada skripsi ini dibahas bagaimana analisis untuk memprediksi pelanggan yang sudah tidak lagi membeli/menggunakan (churn) sebuah produk, sehingga lebih lanjut perusahaan dapat melakukan evaluasi atau memutuskan kebijakan yang lebih baik. Skripsi ini akan memprediksi pelanggan yang churn dengan algoritma extreme learning machine (ELM), backpropagation, dan regresi logistik. Studi kasus ini menggunakan data pelanggan salah satu produk susu. Hasil menunjukan bahwa nilai akurasi yang paling tinggi didapatkan dengan regresi logistik, lalu waktu komputasi yang paling cepat menggunakan extreme learning machine.","In running a business, almost all industries have started to compete by implementing customer relationship management (CRM). Previously, CRM was only applied to the subscription-based telecommunications industry. Basically CRM is used because getting new customers costs more than retaining existing customers, so accurate analytical tools are needed to support CRM implementation. This thesis discusses how to analyze how to predict customers who no longer buy/churn a product, so that the company can further evaluate or decide on a better policy. This thesis will predict customer churn with extreme learning machine (ELM) algorithm, backpropagation, and logistic regression. This case study uses customer data for one of the dairy products. The results show that the highest accuracy value is obtained by logistic regression, then the fastest computation time using extreme learning machine.","Kata Kunci : Customer Churn, Backpropagation, Extreme Learning Machine, Klasifikasi, Regresi logistik"
http://etd.repository.ugm.ac.id/home/detail_pencarian/210706,Aplikasi XGBoost pada Prediksi Cadangan Klaim Produk Asuransi dengan Loss Development Factors Tak Stabil,"RUTH CORNELIA N, Danang Teguh Qoyyimi, M.Sc., Ph.D.",2022 | Skripsi | S1 STATISTIKA,"Semua kegiatan manusia tidak terlepas dari risiko. Salah satu cara untuk mengatasi risiko adalah dengan mentransfer risiko tersebut kepada perusahaan asuransi dimana pihak tertanggung harus membayarkan premi dan pada saat terjadi kejadian yang merugikan bagi pihak tertanggung, pihak tertanggung dapat melakukan klaim. Adanya penundaan pelaporan klaim maupun penundaan waktu sampai klaim diselesaikan membuat perusahaan asuransi wajib untuk menyiapkan suatu dana cadangan, salah satunya adalah cadangan klaim. Hingga saat ini, dalam menghitung besarnya cadangan klaim yang perlu disiapkan perusahaan, kebanyakan aktuaris di Indonesia masih menggunakan metode Chain-Ladder. Padahal, Chain-Ladder tidak dapat menangkap pola dengan baik apabila data memiliki loss development factors yang tidak stabil. Di sisi lain, salah satu algoritma dari metode machine learning yang cukup sering diteliti dalam pencadangan klaim adalah CART. Namun, CART tidak begitu baik karena tidak robust. Oleh karena itu, penulis mengenalkan algoritma XGBoost yang merupakan ensemble model dari beberapa model CART untuk memprediksi cadangan klaim dari data run-off triangle. Berdasarkan hasil penelitian ini, diperoleh kesimpulan bahwa algoritma XGBoost mampu mengungguli metode Chain-Ladder, CART, dan Random Forest dalam memprediksi cadangan klaim pada run-off triangle dengan loss development factors yang tidak stabil.","All human activities are inseparable from risk. One way to overcome the risk is to transfer the risk to an insurance company where the insured party has to pay a premium and in the event of an adverse event for the insured, the insured party can make a claim. The existence of delays in reporting claims and delays in time until claims are resolved makes insurance companies obliged to prepare a reserve fund, one of which is a claim reserve. Until now, in calculating the amount of claim reserves that need to be prepared by the company, most actuaries in Indonesia still use the Chain-Ladder method. In fact, Chain-Ladder cannot capture patterns well if the data has unstable loss development factors. On the other hand, one of the algorithms from machine learning methods that is quite often researched in claims reserve is CART. However, CART is not very good because it is not robust. Therefore, the author introduces the XGBoost algorithm which is an ensemble model of several CART models to predict claim reserves from the run-off triangle data. Based on the results of this study, it is concluded that the XGBoost algorithm is able to outperform the Chain-Ladder, CART, and Random Forest methods in predicting claims reserves on run-off triangle that has unstable loss development factors.","Kata Kunci : Cadangan Klaim, Chain-Ladder, Extreme Gradient Boosting, Loss Development Factors Tak Stabil, Regression Tree"
http://etd.repository.ugm.ac.id/home/detail_pencarian/212500,VALUASI OBLIGASI DENGAN PEMODELAN SUKU BUNGA CIR PENDEKATAN MODEL MERTON,"PUTRI DWI RAMADHANI, Dr.Abdurakhman, S.Si., M.Si.",2022 | Skripsi | S1 STATISTIKA,"Obligasi merupakan surat hutang jangka panjang yang berisi perjanjian antara penerbit obligasi dan pemegang obligasi (investor) untuk nantinya penerbit obligasi akan membayar hutang pokok saat jatuh tempo dan pembayaran kupon sesuai dengan waktu yang disepakati sebelumnya. Kupon merupakan imbal hasil untuk investor dari penerbit obligasi. Dalam pelaksanaannya, berinvestasi obligasi selain memberikan keuntungan juga memiliki potensi risiko kerugian bagi investor sabagai pemegang obligasi yaitu salah satunya risiko kredit. Pengukuran risiko kredit pertama kali dikembangkan oleh Merton (1974) dengan memodifikasi Model Black-Scholes. Pada model Merton diasumsikan bahwa kondisi obligasi tanpa kupon (zero coupon bond) dan perusahaan diasumsikan hanya dapat mengalami kebangkrutan pada saat jatuh tempo dengan kata lain jika penerbit obligasi tidak mampu memenuhi kewajiban pembayaran hutang pada saat jatuh tempo, maka perusahaan tersebut default atau mengalami kebangkrutan. Suku bunga stokastik yang bebas risiko yang digunakan di dalam perhitungan risiko kredit obligasi ini mengikuti model suku bunga Cox - Ingersoll - Ross (CIR). Setelah dilakukan pengaplikasian terhadap aset PT Bank Pan Indonesia Tbk dan aset PT Bank Capital Indonesia Tbk, hasilnya menunjukkan bahwa kedua perusahaan dianggap masih dapat memenuhi pembayaran kewajibannya pada saat jatuh tempo.","Bonds are financial instruments in the form of debt securities that are approved by bond issuer and investor where the bond issuer required to pay the coupon and the principal value at maturity. Coupons are returns for investors from the bond issuer. In practice, investing in bond instruments will get many profit but also has risk that can harm investors as the bondholders, one of them is credit risk. Credit risk structural model for the first time was developed by Merton (1974) with the assumptions that exist in the Black-Scholes Model. In the Merton Model assumed bonds condition is without coupon or free coupon and when the firm as the bond issuer cannot pay the debt at the maturity the firm can be said to be default or bankrupt. The free-risk interest rate that used in this credit risk valuation is following CIR rate. After applying it to the asset of PT Bank Pan Indonesia Tbk and PT Bank Capital Indonesia Tbk, the results show that both companies are considered to be able to full their obligations at the maturity","Kata Kunci : Risiko Kredit, Model Merton, Suku Bunga Cox-Ingersoll-Ross, Obligasi Berkupon Nol."
http://etd.repository.ugm.ac.id/home/detail_pencarian/210968,Penentuan Bobot Portofolio dengan Strategi Maximum Diversification Berdasarkan Algoritma K-Means++,"DITTA NOVITASARI, Dr. Adhitya Ronnie Effendie, S.Si., M.Sc.",2022 | Skripsi | S1 STATISTIKA,"Investasi merupakan kegiatan menempatkan dana yang dimiliki saat ini pada suatu aset dengan tujuan untuk memperoleh keuntungan di masa mendatang. Dalam investasi, terdapat risiko yang tidak dapat dihindari disamping pengembalian yang diharapkan. Risiko tersebut dapat diminimalkan dengan cara diversifikasi. Strategi maximum diversification, yang diperkenalkan oleh Choueifaty dan Coignard (2008) adalah strategi alokasi aset berbasis risiko yang menggunakan ukuran diversifikasi sebagai dasar dalam konstruksi portofolio. Strategi ini membentuk portofolio semaksimal mungkin terdiversifikasi dengan cara memaksimalkan rasio volatilitas tertimbang aset terhadap volatilitas portofolio. Pada penelitian ini akan dibahas suatu metode gabungan dari algoritma K-Means++ dengan strategi maximum diversification dalam penentuan bobot portofolio. Algoritma K-Means++ digunakan untuk mengelompokkan saham berdasarkan kemiripan karakteristiknya meliputi harga saham, return on asset, return on equity, debt to equity ratio dan net profit margin sedangkan strategi maximum diversification digunakan untuk menentukan bobot portofolio. Studi kasus penelitian ini menggunakan data closing price saham harian periode Januari 2021 sampai dengan Desember 2021 dari 17 saham LQ45. Nilai return masing-masing saham dihitung kemudian dibentuk portofolio menggunakan strategi maximum diversification berdasarkan algoritma K-Means++. Kinerja portofolio tersebut kemudian dibandingkan dengan portofolio maximum diversification biasa menggunakan rasio sharpe. Hasil yang diperoleh menunjukkan bahwa portofolio dengan strategi maximum diversification berdasarkan algoritma K-Means++ lebih baik daripada portofolio maximum diversification biasa.","Investment is the activity of placing funds that are currently held in order to obtain profit in the future. In every investment, there will be unavoidable risks in addition to the expected return. This risk can be minimized by diversification. The maximum diversification strategy, introduced by Choueifaty and Coignard (2008) is a risk-based asset allocation strategy that uses diversification measure in portfolio construction. This strategy creates the most diversified portfolio by maximizing the ratio of the weighted average of asset volatilities to portfolio volatility. In this study, we will discuss a combined method of the K-Means++ algorithm with a maximum diversification strategy to determine portfolio weight. K-Means++ algorithm is used to group stocks based on their similar characteristics including stock price, return on asset, return on equity, debt to equity ratio and net profit margin while the maximum diversification strategy is used to determine portfolio weights. This research case study uses daily stock closing price data for the period of January 2021 to December 2021 from 17 stocks of LQ45 index. The return of each stock is calculated and then a portfolio is formed using the maximum diversification strategy based on the K-Means++ algorithm. The portfolio performance of that method is compared with the ordinary maximum diversification portfolio using the sharpe ratio. The result show that the portfolio using the maximum diversification strategy based on the K-Means++ algorithm is better than the ordinary maximum diversification portfolio.","Kata Kunci : portofolio, maximum diversification, algoritma K-Means++, rasio sharpe"
http://etd.repository.ugm.ac.id/home/detail_pencarian/210714,Penentuan Premi Murni Asuransi Kendaraan Bermotor berdasarkan Jarak Tempuh (Pay-As-You-Drive Insurance) dengan Tree-Based Machine Learning,"DHESTAR BAGUS W, Dr. Gunardi, M.Si.",2022 | Skripsi | S1 STATISTIKA,"Sistem penentuan premi asuransi kendaraan bermotor di Indonesia saat ini masih belum cukup adil bagi nasabah, terutama terkait jarak tempuh. Terdapat subsidi silang antara nasabah yang jarang menggunakan kendaraannya dengan yang sering menggunakan. Penelitian yang dilakukan oleh Ferreira dan Minikel (2012) menargetkan permasalahan ini dan menggunakan Generalized Linear Models (GLM) untuk menghitung premi murni asuransi kendaraan bermotor berdasarkan jarak tempuh atau biasa disebut pay-as-you-drive insurance. Meskipun GLM sering digunakan dalam pemodelan di dunia asuransi, ketergantungan metode GLM terhadap asumsi-asumsi yang harus terpenuhi dan ketidakmampuan dalam menangkap pola non-linear menjadi kelemahan utamanya. Penelitian ini akan memanfaatkan tree-based machine learning yaitu Random Forest dan Gradient Boosting Machine dalam perhitungan premi murni pay-as-you-drive insurance dan membuka black-box machine learning sehingga memiliki kemampuan interpretasi yang sama dengan GLM. Diperoleh kesimpulan bahwa algoritma Gradient Boosting Machine mampu menghasilkan model yang memiliki RMSE terendah, baik itu untuk pemodelan frekuensi klaim maupun severity klaim. Selain itu, diperoleh kesimpulan juga bahwa asuransi PAYD lebih baik daripada asuransi kendaraan bermotor tradisional.","The current system for determining auto-insurance premium in Indonesia is still not fair enough for the customer, especially related to mileage. There are cross-subsidized between the low-mileage customers and high-mileage customers. In 2012, Ferreira and Minikel target this problems and used Generalized Linear Models (GLM) to calculate the pure premium based on mileage or known as pay-as-you-drive insurance. Although GLM is often used when modelling in insurance, the dependence of GLM on assumptions and its inability to capture non-linear pattern is the main weaknesses of GLM. This research would use tree-based machine learning, e.g. Random Forest and Gradient Boosting Machine, in calculating the pure premium of pay-as-you-drive insurance and opening the black-box of machine learning so that it has the same interpretation capabilities as the GLM models. It is concluded that the Gradient Boosting Machine algorithm is able to produce a model that has the lowest RMSE, both for modeling claim frequency and claim severity. In addition, it is also concluded that PAYD insurance is better than traditional motor vehicle insurance.","Kata Kunci : Gradient Boosting Machine, Generalized Linear Models, Pay-as-you-drive Insurance, Random Forest"
http://etd.repository.ugm.ac.id/home/detail_pencarian/214308,Robust Jackknife Ridge Regression dengan Estimator Least Absolute Deviations (LAD) untuk Mengatasi Masalah Multikolinearitas dan Pencilan pada Regresi Linear Berganda,"GABRIELLA A L TOBING, Dr. Herni Utami, S.Si., M.Si.",2022 | Skripsi | S1 STATISTIKA,"Dalam ilmu statistika, salah satu metode analisis yang paling sering digunakan adalah analisis regresi. Analisis regresi merupakan metode yang digunakan untuk mengetahui pengaruh antara variabel independen terhadap variabel dependen. Untuk mengestimasi parameter model regresi digunakan metode kuadrat terkecil. Metode ini memerlukan beberapa asumsi klasik yang harus terpenuhi, salah satunya adalah tidak terjadi multikolinearitas antar variabel independen. Jika terjadi multikolinearitas pada model regresi, penggunaan metode kuadrat terkecil akan menghasilkan estimator yang bersifat bias dan memberikan kesimpulan yang kurang tepat.  Metode ridge regression dapat digunakan untuk mengatasi masalah multikolinearitas. Metode ini ditempuh dengan cara menambah tetapan bias k pada diagonal utama matriks Z'Z. Meskipun ridge regression memiliki sifat yang optimal dalam menangani masalah multikolinearitas, estimatornya bersifat bias. Metode jackknife ridge regression dapat digunakan untuk mengurasi bias dari ridge regression. Akan tetapi jackknife ridge regression kurang tepat digunakan untuk data yang memiliki pencilan. Untuk mengatasinya dapat menggunakan robust regression dengan estimator Least Absolute Deviations (LAD). Jadi untuk mengatasi masalah multikolinearitas dan pencilan secara bersamaan digunakan metode robust jackknife ridge regression dengan estimator LAD, di mana robust jackknife ridge regression merupakan hasil pengembangan dari robust ridge regression.  Penelitian ini menggunakan data persentase penduduk miskin berdasarkan kabupaten/kota di Provinsi Sumatera Utara pada tahun 2019 dan faktor-faktor yang mempengaruhinya sebagai studi kasus. Berdasarkan kriteria pemilihan model terbaik, yaitu nilai Mean Square Error (MSE), Akaike Information Criterion (AIC), dan Bayesian Information Criterion (BIC), metode robust jackknife ridge regression dengan estimator LAD lebih baik dibandingkan metode robust ridge regression dengan estimator LAD.","In statistics, one of the most frequently used analytical method is regression analysis. Regression analysis is the method that used to determine the effect of the independent variables on the dependent variable. To estimate the parameters of the regression model, the ordinary least squares method is used. This method requires several classical assumptions that must be fulfilled, one of which is that there is no multicollinearity between independent variables. If there is multicollinearity in the regression model, the use of ordinary least squares method will result in a biased estimator and give inaccurate conclusions.  The ridge regression method is used to solve the multicollinearity problem. The concept is the addition of bias constant k on the main diagonal of the Z'Z matrix. Although ridge regression has optimal properties in dealing with multicollinearity problems, the estimator is biased. Jackknife ridge regression method can be used to reduce the bias of ridge regression. However, jackknife ridge regression is not appropriate for data that has outliers. To overcome this, robust regression can be used with the Least Absolute Deviations (LAD) estimator. So to overcome the problem of multicollinearity and outliers simultaneously, the robust jackknife ridge regression method is used with the LAD estimator, where robust jackknife ridge regression is the development of the robust ridge regression.  This study uses data on the percentage of poor people based on districts/cities in North Sumatra Province in 2019 and the factors that influence it as a case study. Based on the criteria for selecting the best model, such as the value of Mean Square Error (MSE), Akaike Information Criterion (AIC), and Bayesian Information Criterion (BIC), the robust jackknife ridge regression method with the LAD estimator is better than the robust ridge regression method with the LAD estimator.","Kata Kunci : Multikolinearitas, Pencilan, Ridge regression, Jackknife, Robust, Estimator Least Absolute Deviations (LAD)"
http://etd.repository.ugm.ac.id/home/detail_pencarian/214822,Optimasi Aplikasi Bayesian Structural Time Series (BSTS) dalam Peramalan Harga Saham Melalui Pemilihan State Components,"BENITA KATARINA, Dr. Drs. Gunardi, S.Si., M.Si.",2022 | Skripsi | S1 STATISTIKA,"Dalam perdagangan saham, prediksi harga menjadi salah satu topik yang tidak pernah habis untuk dibahas. Keberadaannya dianggap cukup penting karena dapat membantu para investor untuk meminimalisir kerugian yang mungkin timbul. Sejatinya, prediksi harga saham merupakan hal yang sulit dilakukan, namun metode-metode peramalan yang telah ditemukan setidaknya dapat membantu memberikan gambaran akan masa depan dengan lebih baik. Autoregressive Integrated Moving Average (ARIMA) merupakan metode peramalan klasik yang lazim digunakan meski kurang cocok untuk diterapkan pada data yang bervolatilitas tinggi dan kompleks seperti saham. Pada beberapa literatur, ARIMA bahkan memiliki nilai kesalahan yang lebih besar dalam meramalkan harga saham dibandingkan dengan metode klasik lain yang lebih sederhana, yaitu Double Exponential Smoothing (Holt). Perluasan dari model ARIMA untuk data musiman, yaitu Seasonal Autoregressive Integrated Moving Average (SARIMA), juga menghasilkan nilai kesalahan yang lebih besar dibandingkan Triple Exponential Smoothing (Holt-Winters). Bayesian Structural Time Series (BSTS) yang dikembangkan oleh Scott dan Varian pada tahun 2013 dapat menjadi metode alternatif yang dapat digunakan untuk meramalkan harga saham. Metode ini memiliki fleksibilitas yang tinggi dan pandai menggambarkan pola-pola pada deret waktu sehingga cocok digunakan untuk data saham yang kompleks. Berdasarkan hasil yang diperoleh dari penelitian ini, BSTS memiliki nilai kesalahan yang lebih kecil dibandingkan dengan Holt-Winters dan SARIMA. Namun, untuk menghasilkan model dengan nilai kesalahan yang kecil, diperlukan pemilihan state components yang tepat dalam pembentukan modelnya.","In stock trading, price prediction is a never-ending topic to discuss. This prediction is considered important because it can help investors in minimizing losses that may appear. Stock price prediction is indeed a difficult thing to do, but the forecasting methods that have been found can help provide a better picture of the future. Autoregressive Integrated Moving Average (ARIMA) is a classical forecasting method that is commonly used, even though this method is not suitable for data with high volatility and complexity, such as stocks. In some literature, ARIMA even produces larger error values in forecasting stock prices compared to simpler classical methods, that is Double Exponential Smoothing (Holt). The extension of the ARIMA model for seasonal data, namely the Seasonal Autoregressive Integrated Moving Average (SARIMA), also produces larger error values than Triple Exponential Smoothing (Holt-Winters). The Bayesian Structural Time Series (BSTS) which was developed by Scott and Varian in 2013 can be an alternative method that can be used to forecast stock prices. This method has high flexibility and is good at describing time series patterns, so it is suitable for complex stock data. Based on the results obtained from this study, BSTS has smaller error values than Holt-Winters and SARIMA. However, to produce a model with high accuracy, the proper selection of state components has to be done.","Kata Kunci : Bayesian Structural Time Series, Seasonal Autoregressive Integrated Moving Average, Holt-Winters, peramalan harga saham"
http://etd.repository.ugm.ac.id/home/detail_pencarian/217146,UJI HIPOTESIS KESAMAAN MEAN BROWN-FORSYTHE UNTUK POPULASI HETEROSKEDASTIK,"VISHY ANAND CANDAYA, Danang Teguh Qoyyimi., M.Sc., Ph.D.",2022 | Skripsi | S1 STATISTIKA,"Analisis Variansi (ANAVA) merupakan salah satu metode statistika yang digunakan untuk menguji ada tidaknya perbedaan rata-rata yang signifikan antar level faktor. Dalam klasik ANAVA, digunakan statistik uji CF yang mana tidak robust dalam kondisi pelanggaran asumsi kesamaan variansi antar level faktor. Kemudian terdapat statistik uji F* yang merupakan pengembangan dari statistik uji CF. Statistik uji F* ini kemudian digunakan dalam Uji Brown-Forsythe. Selanjutnya kedua metode ini akan dibandingkan kinerjanya dalam olah data riil dan studi simulasi menggunakan metode simulasi Monte Carlo untuk membandingkan nilai type I error rate. Hasil simulasi menunjukkan bahwa kekuatan Uji Brown-Forsythe lebih baik dibandingkan uji ANAVA klasik.","Analysis of Variance (ANOVA) is one of the statistical methods used to test whether or not there is a significant average difference between level factors. In ANOVA, CF test statistic is used which is not robust in the condition of violating the assumption of similarity between factor levels. Therefore, the F* test statistic is used which is an extension of the CF test statistic. Then, the F* test statistic is used in the Brown-Forsythe test. Furthermore, the performance of these two methods is compared in real data processing and study simulation using the Monte Carlo simulation to compare the value of the type I error rate. The simulation show that the strength of the Brown-Forsythe test is better than the classical ANOVA .","Kata Kunci : Analisis Variansi, Statistik Uji CF, Statistik Uji F*, Uji Brown-Forsythe, Type I Error Rate."
